eventId,name,sequence,qrPayload,frontAsset,qrAsset,eventSubtitle,eventDescription,printedTextValidated,printedRuleStatus,engineImplementationStatus,effectClassification,parsedEffect,requiresPlayerScan,requiresPropertyScan,extractionStatus,notes
EVT_01,Boom Town,1,MUB:E:E01,Resources/Cards/EventCards/Boom_Town_Front.png,Resources/Cards/EventCards/E01_Boom_Town_Back_QR.png,Property prices bounce back!,"Move to any property space. Tap this card then the property card to buy it, auction it or raise rent level +1.",True,RESOLVED,COMPLETE,"[""MOVE_PLAYER"", ""SELECT_PROPERTY"", ""SPECIAL_RULE""]","{""action"": ""MOVE_THEN_PROPERTY_CHOICE"", ""amount"": 1, ""target"": ""SELECTED_PROPERTY"", ""parameters"": {""choices"": [""BUY"", ""AUCTION"", ""RAISE_RENT_LEVEL""]}}",False,True,COMPLETE,
EVT_02,Crime Down,2,MUB:E:E02,Resources/Cards/EventCards/Crime_Down_Front.png,Resources/Cards/EventCards/E02_Crime_Down_Back_QR.png,Police arrest local newspaper thief!,Tap this card then one of your property cards. (Colour set rent level jumps +1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_INCREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""INCREASE_COLOR_SET_RENT_LEVEL"", ""amount"": 1, ""target"": ""OWNED_PROPERTY"", ""parameters"": {""scope"": ""COLOR_SET""}}",False,True,COMPLETE,
EVT_03,Deal Of The Week,3,MUB:E:E03,Resources/Cards/EventCards/Deal_Of_The_Week_Front.png,Resources/Cards/EventCards/E03_Deal_Of_The_Week_Back_QR.png,Word on the street says the market is booming!,"Move to any property space. Tap this card then the property card to buy it, auction it or raise rent level +1.",True,RESOLVED,COMPLETE,"[""MOVE_PLAYER"", ""SELECT_PROPERTY"", ""SPECIAL_RULE""]","{""action"": ""MOVE_THEN_PROPERTY_CHOICE"", ""amount"": 1, ""target"": ""SELECTED_PROPERTY"", ""parameters"": {""choices"": [""BUY"", ""AUCTION"", ""RAISE_RENT_LEVEL""]}}",False,True,COMPLETE,
EVT_04,Demolished,4,MUB:E:E04,Resources/Cards/EventCards/Demolished_Front.png,Resources/Cards/EventCards/E04_Demolished_Back_QR.png,Your builders get the wrong address!,Tap this card then any property card. (Rent level resets to 1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""RESET_PROPERTY_RENT_LEVEL"", ""amount"": 1, ""target"": ""ANY_PROPERTY"", ""parameters"": {}}",False,True,COMPLETE,
EVT_05,Grand Designs,5,MUB:E:E05,Resources/Cards/EventCards/Grand_Designs_Front.png,Resources/Cards/EventCards/E05_Grand_Designs_Back_QR.png,One of your properties gets a TV makeover!,Tap this card then one of your property cards. (Rent level jumps to 5),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_INCREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""SET_PROPERTY_RENT_LEVEL"", ""amount"": 5, ""target"": ""OWNED_PROPERTY"", ""parameters"": {}}",False,True,COMPLETE,
EVT_06,Haunted House,6,MUB:E:E06,Resources/Cards/EventCards/Haunted_House_Front.png,Resources/Cards/EventCards/E06_Haunted_House_Back_QR.png,Something strange is going on! Swap another player's property with one of yours.,Pick another player. Tap this card then you each tap one of your property cards to swap. Exchange cards too!,True,RESOLVED,COMPLETE,"[""SELECT_PLAYER"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY"", ""SPECIAL_RULE""]","{""action"": ""SWAP_PROPERTIES_BETWEEN_PLAYERS"", ""amount"": null, ""target"": ""TWO_PLAYERS_AND_PROPERTIES"", ""parameters"": {""exchangePhysicalCards"": true}}",True,True,COMPLETE,Requires two property scans (one per player) after player selection.
EVT_07,Highway Tax,7,MUB:E:E07,Resources/Cards/EventCards/Highway_Tax_Front.png,Resources/Cards/EventCards/E07_Highway_Tax_Back_QR.png,Your roads need repairs!,Tap this card then your Bank card to pay M50 per property you own.,True,RESOLVED,COMPLETE,"[""MONEY_LOSS"", ""SELECT_PLAYER""]","{""action"": ""PAY_PER_OWNED_PROPERTY"", ""amount"": 50, ""target"": ""CURRENT_PLAYER"", ""parameters"": {""perProperty"": true}}",True,False,COMPLETE,Card uses Monopoly currency symbol before 50.
EVT_08,House Party,8,MUB:E:E08,Resources/Cards/EventCards/House_Party_Front.png,Resources/Cards/EventCards/E08_House_Party_Back_QR.png,The good times go on till late!,Tap this card then one of your property cards. (Rent level jumps to +1 for you; drops -1 for your neighbours),True,RESOLVED,NEEDS_REVIEW,"[""PROPERTY_RENT_INCREASE"", ""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""TO_BE_CONFIRMED"", ""amount"": 1, ""target"": ""OWNED_PROPERTY_AND_NEIGHBOURS"", ""parameters"": {""selectedPropertyRentChange"": 1, ""neighbourRentChange"": -1}}",False,True,NEEDS_REVIEW,Printed rule confirmed. Engine semantics for 'neighbours' not yet defined.
EVT_09,In The Money,9,MUB:E:E09,Resources/Cards/EventCards/In_The_Money_Front.png,Resources/Cards/EventCards/E09_In_The_Money_Back_QR.png,Spend your lottery millions! Swap another player's property with one of yours.,Pick another player. Tap this card then you each tap one of your property cards to swap. Exchange cards too!,True,RESOLVED,COMPLETE,"[""SELECT_PLAYER"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY"", ""SPECIAL_RULE""]","{""action"": ""SWAP_PROPERTIES_BETWEEN_PLAYERS"", ""amount"": null, ""target"": ""TWO_PLAYERS_AND_PROPERTIES"", ""parameters"": {""exchangePhysicalCards"": true}}",True,True,COMPLETE,Requires two property scans (one per player) after player selection.
EVT_10,It's A Boy!,10,MUB:E:E10,Resources/Cards/EventCards/Its_A_Boy_Front.png,Resources/Cards/EventCards/E10_Its_A_Boy_Back_QR.png,Your new arrival wakes up the whole street!,Tap this card then one of your property cards. (Rent level jumps to +1 for you; drops -1 for your neighbours),True,RESOLVED,NEEDS_REVIEW,"[""PROPERTY_RENT_INCREASE"", ""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""TO_BE_CONFIRMED"", ""amount"": 1, ""target"": ""OWNED_PROPERTY_AND_NEIGHBOURS"", ""parameters"": {""selectedPropertyRentChange"": 1, ""neighbourRentChange"": -1}}",False,True,NEEDS_REVIEW,Printed rule confirmed. Engine semantics for 'neighbours' not yet defined.
